Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Date,Request Day,Trip Duration (mins),Is Driver Assigned,Was Completed,Pickup_Airport,Request Period
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,13-07-2016,Wednesday,50.03333333,Yes,Yes,1,Morning
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,13-07-2016,Wednesday,52.35,Yes,Yes,0,Night
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,14-07-2016,Thursday,53.21666667,Yes,Yes,1,Night
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,14-07-2016,Thursday,48.11666667,Yes,Yes,0,Afternoon
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,14-07-2016,Thursday,51.8,Yes,Yes,0,Night
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,15-07-2016,Friday,64,Yes,Yes,1,Night
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,15-07-2016,Friday,46.06666667,Yes,Yes,0,Morning
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,15-07-2016,Friday,65.05,Yes,Yes,1,Afternoon
1039,City,7,Trip Completed,07-11-2016 19:31,07-11-2016 20:41,07-11-2016,Monday,70,Yes,Yes,0,Evening
1273,Airport,7,Trip Completed,07-11-2016 22:07,07-11-2016 23:12,07-11-2016,Monday,65,Yes,Yes,1,Night
2480,City,7,Trip Completed,07-12-2016 20:39,07-12-2016 21:28,07-12-2016,Wednesday,49,Yes,Yes,0,Evening
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,14-07-2016,Thursday,59.43333333,Yes,Yes,0,Night
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,14-07-2016,Thursday,65.8,Yes,Yes,0,Morning
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,14-07-2016,Thursday,58.41666667,Yes,Yes,1,Evening
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,15-07-2016,Friday,50.18333333,Yes,Yes,0,Morning
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,15-07-2016,Friday,46.68333333,Yes,Yes,1,Afternoon
380,Airport,8,Trip Completed,07-11-2016 08:18,07-11-2016 09:18,07-11-2016,Monday,60,Yes,Yes,1,Morning
1050,Airport,8,Trip Completed,07-11-2016 19:39,07-11-2016 20:30,07-11-2016,Monday,51,Yes,Yes,1,Evening
1769,City,8,Trip Completed,07-12-2016 08:57,07-12-2016 09:24,07-12-2016,Wednesday,27,Yes,Yes,0,Morning
2520,City,8,Trip Completed,07-12-2016 21:05,07-12-2016 22:20,07-12-2016,Wednesday,75,Yes,Yes,0,Night
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,13-07-2016,Wednesday,44.91666667,Yes,Yes,1,Morning
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,14-07-2016,Thursday,64.4,Yes,Yes,0,Morning
449,Airport,9,Trip Completed,07-11-2016 09:08,07-11-2016 09:52,07-11-2016,Monday,44,Yes,Yes,1,Morning
846,Airport,9,Trip Completed,07-11-2016 17:46,07-11-2016 18:52,07-11-2016,Monday,66,Yes,Yes,1,Evening
1346,Airport,9,Trip Completed,07-11-2016 23:39,07-12-2016 00:23,07-11-2016,Monday,41804,Yes,Yes,1,Night
1474,Airport,9,Trip Completed,07-12-2016 05:13,07-12-2016 05:56,07-12-2016,Wednesday,43,Yes,Yes,1,Morning
2240,City,9,Trip Completed,07-12-2016 18:20,07-12-2016 18:54,07-12-2016,Wednesday,34,Yes,Yes,0,Evening
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,13-07-2016,Wednesday,31.66666667,Yes,Yes,1,Morning
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,13-07-2016,Wednesday,28.31666667,Yes,Yes,1,Evening
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,13-07-2016,Wednesday,46.08333333,Yes,Yes,1,Evening
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,13-07-2016,Wednesday,59.96666667,Yes,Yes,0,Night
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,14-07-2016,Thursday,45.41666667,Yes,Yes,0,Night
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,14-07-2016,Thursday,63.93333333,Yes,Yes,1,Evening
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,15-07-2016,Friday,38,Yes,Yes,1,Morning
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,15-07-2016,Friday,40.93333333,Yes,Yes,1,Morning
1809,Airport,10,Trip Completed,07-12-2016 09:13,07-12-2016 10:01,07-12-2016,Wednesday,48,Yes,Yes,1,Morning
2064,Airport,10,Trip Completed,07-12-2016 15:08,07-12-2016 16:14,07-12-2016,Wednesday,66,Yes,Yes,1,Afternoon
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,13-07-2016,Wednesday,65.51666667,Yes,Yes,0,Morning
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,14-07-2016,Thursday,57.43333333,Yes,Yes,0,Morning
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,14-07-2016,Thursday,39.53333333,Yes,Yes,0,Afternoon
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,15-07-2016,Friday,46.88333333,Yes,Yes,1,Morning
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,15-07-2016,Friday,71.88333333,Yes,Yes,1,Afternoon
2030,City,11,Trip Completed,07-12-2016 14:11,07-12-2016 15:02,07-12-2016,Wednesday,51,Yes,Yes,0,Afternoon
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,13-07-2016,Wednesday,62.58333333,Yes,Yes,0,Morning
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,13-07-2016,Wednesday,39.26666667,Yes,Yes,0,Afternoon
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,14-07-2016,Thursday,30.08333333,Yes,Yes,0,Morning
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,14-07-2016,Thursday,52.31666667,Yes,Yes,0,Evening
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,15-07-2016,Friday,50.16666667,Yes,Yes,1,Morning
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,15-07-2016,Friday,51.01666667,Yes,Yes,0,Morning
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,15-07-2016,Friday,40.18333333,Yes,Yes,1,Evening
45,Airport,12,Trip Completed,07-11-2016 03:17,07-11-2016 04:09,07-11-2016,Monday,52,Yes,Yes,1,Night
264,City,12,Trip Completed,07-11-2016 06:51,07-11-2016 07:40,07-11-2016,Monday,49,Yes,Yes,0,Morning
1183,City,12,Trip Completed,07-11-2016 21:05,07-11-2016 21:38,07-11-2016,Monday,33,Yes,Yes,0,Night
1536,Airport,12,Trip Completed,07-12-2016 05:59,07-12-2016 06:59,07-12-2016,Wednesday,60,Yes,Yes,1,Morning
2437,City,12,Trip Completed,07-12-2016 20:18,07-12-2016 21:26,07-12-2016,Wednesday,68,Yes,Yes,0,Evening
2641,Airport,12,Trip Completed,07-12-2016 22:28,07-12-2016 23:05,07-12-2016,Wednesday,37,Yes,Yes,1,Night
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,14-07-2016,Thursday,58.9,Yes,Yes,1,Night
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,14-07-2016,Thursday,63.78333333,Yes,Yes,0,Morning
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,14-07-2016,Thursday,42.71666667,Yes,Yes,1,Evening
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,15-07-2016,Friday,67.7,Yes,Yes,1,Morning
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,15-07-2016,Friday,43.01666667,Yes,Yes,0,Morning
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,15-07-2016,Friday,41.3,Yes,Yes,0,Evening
155,City,13,Trip Completed,07-11-2016 05:32,07-11-2016 06:28,07-11-2016,Monday,56,Yes,Yes,0,Morning
310,Airport,13,Trip Completed,07-11-2016 07:24,07-11-2016 08:28,07-11-2016,Monday,64,Yes,Yes,1,Morning
607,City,13,Trip Completed,07-11-2016 11:51,07-11-2016 12:42,07-11-2016,Monday,51,Yes,Yes,0,Morning
1012,City,13,Trip Completed,07-11-2016 19:15,07-11-2016 19:57,07-11-2016,Monday,42,Yes,Yes,0,Evening
1696,Airport,13,Trip Completed,07-12-2016 08:01,07-12-2016 08:42,07-12-2016,Wednesday,41,Yes,Yes,1,Morning
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,13-07-2016,Wednesday,63.25,Yes,Yes,0,Morning
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,14-07-2016,Thursday,73.3,Yes,Yes,1,Morning
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,14-07-2016,Thursday,46.88333333,Yes,Yes,0,Morning
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,14-07-2016,Thursday,40.81666667,Yes,Yes,0,Night
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,15-07-2016,Friday,62.23333333,Yes,Yes,1,Morning
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,15-07-2016,Friday,32.6,Yes,Yes,1,Night
139,Airport,14,Trip Completed,07-11-2016 05:21,07-11-2016 06:09,07-11-2016,Monday,48,Yes,Yes,1,Morning
215,City,14,Trip Completed,07-11-2016 06:15,07-11-2016 07:07,07-11-2016,Monday,52,Yes,Yes,0,Morning
1816,City,14,Trip Completed,07-12-2016 09:24,07-12-2016 10:07,07-12-2016,Wednesday,43,Yes,Yes,0,Morning
2505,Airport,14,Trip Completed,07-12-2016 21:03,07-12-2016 22:14,07-12-2016,Wednesday,71,Yes,Yes,1,Night
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,13-07-2016,Wednesday,54.28333333,Yes,Yes,0,Afternoon
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,14-07-2016,Thursday,30.83333333,Yes,Yes,0,Night
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,15-07-2016,Friday,58.8,Yes,Yes,1,Evening
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,15-07-2016,Friday,65.03333333,Yes,Yes,1,Night
1027,Airport,15,Trip Completed,07-11-2016 19:18,07-11-2016 20:24,07-11-2016,Monday,66,Yes,Yes,1,Evening
2675,Airport,15,Trip Completed,07-12-2016 23:43,13-07-2016 00:35,07-12-2016,Wednesday,-213067.8,Yes,Yes,1,Night
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,13-07-2016,Wednesday,51.23333333,Yes,Yes,0,Morning
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,13-07-2016,Wednesday,29.16666667,Yes,Yes,0,Night
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,14-07-2016,Thursday,39.25,Yes,Yes,0,Morning
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,14-07-2016,Thursday,30.8,Yes,Yes,1,Evening
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,15-07-2016,Friday,62.86666667,Yes,Yes,0,Afternoon
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,15-07-2016,Friday,37.85,Yes,Yes,1,Evening
591,City,16,Trip Completed,07-11-2016 11:25,07-11-2016 12:31,07-11-2016,Monday,66,Yes,Yes,0,Morning
709,City,16,Trip Completed,07-11-2016 14:16,07-11-2016 15:03,07-11-2016,Monday,47,Yes,Yes,0,Afternoon
1167,Airport,16,Trip Completed,07-11-2016 20:50,07-11-2016 21:52,07-11-2016,Monday,62,Yes,Yes,1,Evening
2661,Airport,16,Trip Completed,07-12-2016 23:23,13-07-2016 00:27,07-12-2016,Wednesday,-213055.65,Yes,Yes,1,Night
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,13-07-2016,Wednesday,50.91666667,Yes,Yes,0,Morning
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,13-07-2016,Wednesday,32.61666667,Yes,Yes,1,Morning
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,13-07-2016,Wednesday,73.71666667,Yes,Yes,1,Afternoon
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,13-07-2016,Wednesday,29.46666667,Yes,Yes,1,Night
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,14-07-2016,Thursday,69.3,Yes,Yes,0,Night
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,14-07-2016,Thursday,42.93333333,Yes,Yes,0,Morning
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,14-07-2016,Thursday,62.45,Yes,Yes,0,Afternoon
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,14-07-2016,Thursday,61.91666667,Yes,Yes,1,Night
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,15-07-2016,Friday,79.1,Yes,Yes,0,Afternoon
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,15-07-2016,Friday,59.81666667,Yes,Yes,1,Evening
634,City,17,Trip Completed,07-11-2016 12:25,07-11-2016 13:06,07-11-2016,Monday,41,Yes,Yes,0,Afternoon
939,Airport,17,Trip Completed,07-11-2016 18:25,07-11-2016 19:26,07-11-2016,Monday,61,Yes,Yes,1,Evening
2628,Airport,17,Trip Completed,07-12-2016 22:10,07-12-2016 23:25,07-12-2016,Wednesday,75,Yes,Yes,1,Night
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,13-07-2016,Wednesday,52.78333333,Yes,Yes,0,Morning
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,14-07-2016,Thursday,44.78333333,Yes,Yes,0,Afternoon
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,14-07-2016,Thursday,56.03333333,Yes,Yes,0,Evening
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,14-07-2016,Thursday,49.86666667,Yes,Yes,1,Night
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,15-07-2016,Friday,58.26666667,Yes,Yes,1,Night
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,15-07-2016,Friday,66.5,Yes,Yes,1,Morning
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,15-07-2016,Friday,39.08333333,Yes,Yes,1,Evening
499,City,18,Trip Completed,07-11-2016 09:39,07-11-2016 10:16,07-11-2016,Monday,37,Yes,Yes,0,Morning
1147,Airport,18,Trip Completed,07-11-2016 20:42,07-11-2016 21:18,07-11-2016,Monday,36,Yes,Yes,1,Evening
1410,Airport,18,Trip Completed,07-12-2016 03:14,07-12-2016 04:27,07-12-2016,Wednesday,73,Yes,Yes,1,Night
1804,Airport,18,Trip Completed,07-12-2016 09:12,07-12-2016 09:57,07-12-2016,Wednesday,45,Yes,Yes,1,Morning
1949,Airport,18,Trip Completed,07-12-2016 11:32,07-12-2016 12:13,07-12-2016,Wednesday,41,Yes,Yes,1,Morning
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,13-07-2016,Wednesday,50.43333333,Yes,Yes,0,Night
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,13-07-2016,Wednesday,42.18333333,Yes,Yes,0,Morning
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,13-07-2016,Wednesday,57.7,Yes,Yes,1,Night
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,14-07-2016,Thursday,47.4,Yes,Yes,0,Afternoon
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,14-07-2016,Thursday,58.66666667,Yes,Yes,1,Evening
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,15-07-2016,Friday,71.41666667,Yes,Yes,0,Morning
494,City,19,Trip Completed,07-11-2016 09:36,07-11-2016 10:02,07-11-2016,Monday,26,Yes,Yes,0,Morning
1485,City,19,Trip Completed,07-12-2016 05:21,07-12-2016 06:35,07-12-2016,Wednesday,74,Yes,Yes,0,Morning
2042,City,19,Trip Completed,07-12-2016 14:30,07-12-2016 15:09,07-12-2016,Wednesday,39,Yes,Yes,0,Afternoon
2561,Airport,19,Trip Completed,07-12-2016 21:29,07-12-2016 22:44,07-12-2016,Wednesday,75,Yes,Yes,1,Night
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,13-07-2016,Wednesday,39.45,Yes,Yes,1,Night
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016 06:59,14-07-2016,Thursday,47.91666667,Yes,Yes,1,Morning
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016 08:54,14-07-2016,Thursday,54.4,Yes,Yes,0,Morning
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016 10:59,15-07-2016,Friday,55.75,Yes,Yes,0,Morning
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016 12:53,15-07-2016,Friday,49.35,Yes,Yes,1,Afternoon
468,City,20,Trip Completed,07-11-2016 09:20,07-11-2016 10:05,07-11-2016,Monday,45,Yes,Yes,0,Morning
693,Airport,20,Trip Completed,07-11-2016 13:51,07-11-2016 15:01,07-11-2016,Monday,70,Yes,Yes,1,Afternoon
1178,City,20,Trip Completed,07-11-2016 21:05,07-11-2016 22:06,07-11-2016,Monday,61,Yes,Yes,0,Night
2103,City,20,Trip Completed,07-12-2016 16:08,07-12-2016 17:18,07-12-2016,Wednesday,70,Yes,Yes,0,Afternoon
2292,Airport,20,Trip Completed,07-12-2016 18:46,07-12-2016 19:23,07-12-2016,Wednesday,37,Yes,Yes,1,Evening
3339,City,20,Trip Completed,13-07-2016 12:40,13-07-2016 13:30,13-07-2016,Wednesday,49.46666667,Yes,Yes,0,Afternoon
3694,City,20,Trip Completed,13-07-2016 19:33,13-07-2016 20:35,13-07-2016,Wednesday,61.81666667,Yes,Yes,0,Evening
4469,City,20,Trip Completed,14-07-2016 08:45,14-07-2016 09:48,14-07-2016,Thursday,62.91666667,Yes,Yes,0,Morning
6432,City,20,Trip Completed,15-07-2016 19:50,15-07-2016 20:30,15-07-2016,Friday,39.13333333,Yes,Yes,0,Evening
1895,City,21,Trip Completed,07-12-2016 10:20,07-12-2016 10:52,07-12-2016,Wednesday,32,Yes,Yes,0,Morning
1981,Airport,21,Trip Completed,07-12-2016 12:23,07-12-2016 12:56,07-12-2016,Wednesday,33,Yes,Yes,1,Afternoon
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016 21:22,13-07-2016,Wednesday,54.51666667,Yes,Yes,1,Evening
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016 09:12,14-07-2016,Thursday,45.5,Yes,Yes,1,Morning
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016 13:38,15-07-2016,Friday,26.95,Yes,Yes,1,Afternoon
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016 22:12,15-07-2016,Friday,78.26666667,Yes,Yes,0,Evening
110,City,22,Trip Completed,07-11-2016 05:05,07-11-2016 06:06,07-11-2016,Monday,61,Yes,Yes,0,Morning
362,City,22,Trip Completed,07-11-2016 08:01,07-11-2016 09:18,07-11-2016,Monday,77,Yes,Yes,0,Morning
666,Airport,22,Trip Completed,07-11-2016 13:02,07-11-2016 13:45,07-11-2016,Monday,43,Yes,Yes,1,Afternoon
926,City,22,Trip Completed,07-11-2016 18:28,07-11-2016 19:34,07-11-2016,Monday,66,Yes,Yes,0,Evening
1180,Airport,22,Trip Completed,07-11-2016 21:01,07-11-2016 22:14,07-11-2016,Monday,73,Yes,Yes,1,Night
1900,City,22,Trip Completed,07-12-2016 10:32,07-12-2016 11:42,07-12-2016,Wednesday,70,Yes,Yes,0,Morning
2506,City,22,Trip Completed,07-12-2016 21:01,07-12-2016 21:38,07-12-2016,Wednesday,37,Yes,Yes,0,Night
